Rating,Monokuma,NoobKiz,Rella666,Kropotkin42,Kyrie11,chiri,Superwoman97,cowboy55,phips77,Vis81,Ellakingen,Cinnamon-Bun,Lapalus ,4LB4,Ray Primary,papi33,Mustang22,e4c6,DancingTomato2,Frogster,swoop11,Maximillianmus,hexachord,Mark Hamill,Spike123,sejfz,Lol123,Pencil12,Jericho,no one,C3I2,Monsterhunter98,raspberry666,User14,solarpunk,shuriken,seed2,Unchain,AGreatAlias19,ratponto,Banana,JoHa,ginger
How would you rate your Information Visualization skills?,3,7,6,3,5,5,2,5,3,3,3,3,6,3,4,1,3,2,2,3,3,1,4,2,5,1,1,6,5,3,6,4,1,3,4,3,3,1,1,6,2,6,1
How would you rate your statistical skills?,3,7,5,4,6,2,3,3,6,5,1,5,6,3,4,1,4,3,4,1,6,4,6,2,7,3,2,5,5,6,9,4,3,5,3,3,5,2,2,8,3,9,5
How would you rate your mathematics skills?,4,6,6,5,4,2,5,5,3,5,5,7,5,5,8,2,6,4,5,5,6,4,7,3,8,6,4,6,6,8,6,6,6,5,5,3,5,2,5,8,7,9,8
How would you rate your drawing and artistic skills?,6,4,7,8,4,9,6,5,4,6,7,4,9,7,6,8,7,1,6,7,4,6,4,2,7,10,1,7,4,1,2,4,3,5,9,3,3,9,7,7,3,8,5
How would you rate your computer usage skills?,8,8,6,7,6,7,7,8,5,7,7,9,8,7,9,4,7,4,8,7,8,7,8,6,8,9,3,8,6,8,8,7,7,8,9,7,7,9,7,9,8,9,6
How would you rate your programming skills?,6,8,3,4,6,6,2,6,3,5,7,6,8,5,7,3,5,3,7,6,7,6,8,3,7,6,2,6,6,8,6,7,6,5,5,7,3,9,2,7,5,8,10
How would you rate your computer graphics programming skills?,5,4,5,4,3,3,1,3,1,2,2,2,4,2,5,1,2,3,2,1,2,5,5,3,1,5,1,2,5,7,5,4,5,3,5,3,1,5,1,5,1,7,6
How would you rate your human-computer interaction programming skills?,3,7,5,1,5,6,3,5,1,4,2,3,6,5,3,1,3,2,2,4,4,4,4,4,1,6,1,5,3,3,6,4,6,6,6,3,3,7,3,7,2,6,5
How would you rate your user experience evaluation skills?,3,5,3,6,5,4,6,5,6,3,2,1,8,5,2,2,5,2,1,4,6,1,4,3,5,7,2,4,2,1,7,4,2,6,6,3,3,1,6,6,2,6,1
How would you rate your communication skills?,5,7,7,9,5,5,10,10,9,4,10,8,7,7,9,1,7,6,10,6,8,4,7,8,7,3,6,8,3,5,8,6,8,10,10,7,7,9,10,6,10,7,1
How would you rate your collaboration skills?,5,7,7,6,9,5,5,8,8,7,5,7,8,8,7,4,6,7,8,6,8,5,7,7,7,6,5,7,5,5,6,6,7,8,10,4,8,9,8,7,9,6,7
How would you rate your code repository skills?,5,9,2,7,6,9,4,6,6,6,5,7,6,5,7,3,3,4,7,6,10,4,8,1,7,6,1,6,4,5,6,6,3,4,4,10,1,7,2,7,7,9,9
